scope,operator,t_bucket,l_bucket,num_units,avg_stoc_len,avg_error,metric_mean,metric_std,counts,fractions,thresholds,level_mean_error
bucket,mlp_fc1,1,0,3584,32.0,0.0021459071431308985,0.30223363637924194,0.15236195921897888,"0,0,0,0,0,627,2330,627","0.000000,0.000000,0.000000,0.000000,0.000000,0.174944,0.650112,0.174944","1.000000,1.000000,1.000000,1.000000,1.000000,0.445403,0.160295","0.000117,0.000129,0.000228,0.000364,0.000708,0.001149,0.002266,0.007055"
bucket,mlp_fc1,1,1,3584,32.0,0.0033069204073399305,0.40742507576942444,0.17458251118659973,"0,0,0,0,0,0,3584,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000","0.000128,0.000184,0.000318,0.000500,0.000972,0.001605,0.003307,0.010866"
bucket,mlp_fc1,1,2,3584,32.0,0.004826742690056562,0.4425595700740814,0.15114642679691315,"0,0,0,0,0,1,3582,1","0.000000,0.000000,0.000000,0.000000,0.000000,0.000279,0.999442,0.000279","1.000000,1.000000,1.000000,1.000000,1.000000,0.980420,0.044074","0.000249,0.000328,0.000524,0.000798,0.001499,0.002428,0.004827,0.015386"
bucket,mlp_fc1,1,3,2560,32.0,0.008517758920788765,0.6931980848312378,0.15012405812740326,"0,0,0,0,0,0,2560,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000","0.000683,0.000797,0.001148,0.001668,0.002925,0.004616,0.008518,0.025338"
bucket,mlp_fc1,2,0,3584,32.0,0.002314042067155242,0.30254295468330383,0.14837409555912018,"0,0,0,0,0,770,2044,770","0.000000,0.000000,0.000000,0.000000,0.000000,0.214844,0.570312,0.214844","1.000000,1.000000,1.000000,1.000000,1.000000,0.415374,0.177566","0.000134,0.000144,0.000253,0.000401,0.000778,0.001262,0.002481,0.007701"
bucket,mlp_fc1,2,1,3584,32.0,0.0036585608031600714,0.4103999137878418,0.14618124067783356,"0,0,0,0,0,0,3584,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000","0.000155,0.000218,0.000366,0.000570,0.001096,0.001798,0.003659,0.011858"
bucket,mlp_fc1,2,2,3584,32.0,0.0053011528216302395,0.5385535955429077,0.16532689332962036,"0,0,0,0,0,2,3580,2","0.000000,0.000000,0.000000,0.000000,0.000000,0.000558,0.998884,0.000558","1.000000,1.000000,1.000000,1.000000,1.000000,0.964662,0.047300","0.000301,0.000388,0.000603,0.000910,0.001687,0.002725,0.005301,0.016521"
bucket,mlp_fc1,2,3,2560,32.0,0.009295190684497356,0.7077442407608032,0.12497058510780334,"0,0,0,0,0,0,2560,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000","0.000847,0.000955,0.001342,0.001924,0.003305,0.005176,0.009295,0.027090"
bucket,mlp_fc1,3,0,7168,31.995535714285715,0.0028782363515347242,0.3362644612789154,0.16270391643047333,"0,0,0,0,1,2302,2559,2306","0.000000,0.000000,0.000000,0.000000,0.000140,0.321150,0.357003,0.321708","1.000000,1.000000,1.000000,1.000000,0.994954,0.399438,0.242105","0.000216,0.000230,0.000368,0.000559,0.001044,0.001668,0.003181,0.009468"
bucket,mlp_fc1,3,1,7168,32.0,0.004162824247032404,0.5186048746109009,0.16983899474143982,"0,0,0,0,0,0,7168,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000","0.000213,0.000283,0.000453,0.000692,0.001304,0.002122,0.004163,0.013128"
bucket,mlp_fc1,3,2,7168,32.0,0.005413568578660488,0.5969311594963074,0.1560642421245575,"0,0,0,0,0,1,7166,1","0.000000,0.000000,0.000000,0.000000,0.000000,0.000140,0.999721,0.000140","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000","0.000363,0.000447,0.000669,0.000990,0.001774,0.002843,0.005414,0.016836"
bucket,mlp_fc1,3,3,5120,32.0,0.008454367518424988,0.6084638833999634,0.14940617978572845,"0,0,0,0,0,0,5120,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000","0.000823,0.000903,0.001249,0.001778,0.003041,0.004734,0.008454,0.024947"
bucket,mlp_fc2,0,0,7168,32.0,0.005403900984674692,0.2293967306613922,0.16274958848953247,"0,0,0,0,1,3071,1023,3073","0.000000,0.000000,0.000000,0.000000,0.000140,0.428432,0.142718,0.428711","1.000000,1.000000,1.000000,1.000000,0.983295,0.214449,0.166004","0.000414,0.000403,0.000758,0.001278,0.002555,0.004247,0.008348,0.025166"
bucket,mlp_fc2,0,1,7168,32.002232142857146,0.02298971824347973,0.21082332730293274,0.10975020378828049,"0,0,0,0,0,1,7167,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000140,0.999860,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000","0.000732,0.001093,0.002074,0.003498,0.007016,0.011699,0.022993,0.067867"
bucket,mlp_fc2,0,2,7168,32.002232142857146,0.015153797343373299,0.2026606947183609,0.10549469292163849,"0,0,0,0,0,267,6635,266","0.000000,0.000000,0.000000,0.000000,0.000000,0.037249,0.925642,0.037109","1.000000,1.000000,1.000000,1.000000,1.000000,0.422401,0.062478","0.000545,0.000701,0.001344,0.002264,0.004593,0.007632,0.015274,0.046840"
bucket,mlp_fc2,0,3,5120,32.003125,0.011818845756351948,0.209651917219162,0.13892383873462677,"0,0,0,0,0,766,3589,765","0.000000,0.000000,0.000000,0.000000,0.000000,0.149609,0.700977,0.149414","1.000000,1.000000,1.000000,1.000000,1.000000,0.325218,0.091893","0.000457,0.000589,0.001108,0.001864,0.003757,0.006347,0.012652,0.039034"
bucket,mlp_fc2,1,0,3584,32.0,0.004746526014059782,0.29548048973083496,0.19002901017665863,"0,0,0,0,40,1464,536,1544","0.000000,0.000000,0.000000,0.000000,0.011161,0.408482,0.149554,0.430804","1.000000,1.000000,1.000000,1.000000,0.870738,0.278994,0.224476","0.000322,0.000356,0.000676,0.001136,0.002280,0.003779,0.007476,0.022635"
bucket,mlp_fc2,1,1,3584,32.004464285714285,0.022690607234835625,0.18623283505439758,0.10627691447734833,"0,0,0,0,0,1,3583,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000279,0.999721,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,0.930291,0.000000","0.000716,0.001064,0.002034,0.003428,0.006891,0.011481,0.022696,0.067495"
bucket,mlp_fc2,1,2,3584,32.004464285714285,0.013142903335392475,0.20408214628696442,0.12504248321056366,"0,0,0,0,0,253,3079,252","0.000000,0.000000,0.000000,0.000000,0.000000,0.070592,0.859096,0.070312","1.000000,1.000000,1.000000,1.000000,1.000000,0.413502,0.061120","0.000455,0.000602,0.001165,0.001957,0.003993,0.006641,0.013359,0.041210"
bucket,mlp_fc2,1,3,2560,32.00625,0.010317819193005562,0.15608736872673035,0.10989390313625336,"0,0,0,0,0,306,1949,305","0.000000,0.000000,0.000000,0.000000,0.000000,0.119531,0.761328,0.119141","1.000000,1.000000,1.000000,1.000000,1.000000,0.262820,0.058111","0.000339,0.000481,0.000924,0.001538,0.003113,0.005244,0.010678,0.033635"
bucket,mlp_fc2,2,0,3584,32.0,0.0047394935972988605,0.32495594024658203,0.18175008893013,"0,0,0,0,119,1325,577,1563","0.000000,0.000000,0.000000,0.000000,0.033203,0.369699,0.160993,0.436105","1.000000,1.000000,1.000000,1.000000,0.770098,0.324645,0.255955","0.000318,0.000355,0.000675,0.001135,0.002282,0.003778,0.007448,0.022522"
bucket,mlp_fc2,2,1,3584,32.004464285714285,0.023403363302350044,0.19722189009189606,0.10794927179813385,"0,0,0,0,0,1,3583,0","0.000000,0.000000,0.000000,0.000000,0.000000,0.000279,0.999721,0.000000","1.000000,1.000000,1.000000,1.000000,1.000000,0.826815,0.000000","0.000725,0.001094,0.002100,0.003529,0.007104,0.011815,0.023408,0.069766"
bucket,mlp_fc2,2,2,3584,32.004464285714285,0.01218627579510212,0.22773663699626923,0.124468594789505,"0,0,0,0,0,270,3045,269","0.000000,0.000000,0.000000,0.000000,0.000000,0.075335,0.849609,0.075056","1.000000,1.000000,1.000000,1.000000,1.000000,0.424727,0.093927","0.000403,0.000559,0.001091,0.001820,0.003704,0.006141,0.012383,0.038137"
bucket,mlp_fc2,2,3,2560,32.0,0.009252491407096386,0.22397656738758087,0.14501629769802094,"0,0,0,0,0,279,2002,279","0.000000,0.000000,0.000000,0.000000,0.000000,0.108984,0.782031,0.108984","1.000000,1.000000,1.000000,1.000000,1.000000,0.410645,0.077538","0.000305,0.000437,0.000840,0.001399,0.002815,0.004727,0.009576,0.030180"
bucket,mlp_fc2,3,0,7168,32.0,0.004655131138861179,0.33115169405937195,0.18317070603370667,"0,0,0,0,200,2674,1220,3074","0.000000,0.000000,0.000000,0.000000,0.027902,0.373047,0.170201,0.428850","1.000000,1.000000,1.000000,1.000000,0.807325,0.334910,0.265586","0.000322,0.000337,0.000646,0.001078,0.002169,0.003597,0.007177,0.021707"
bucket,mlp_fc2,3,1,7168,32.0,0.016371605917811394,0.3412349820137024,0.16009896993637085,"0,0,0,0,0,190,6788,190","0.000000,0.000000,0.000000,0.000000,0.000000,0.026507,0.946987,0.026507","1.000000,1.000000,1.000000,1.000000,1.000000,0.697007,0.101264","0.000461,0.000746,0.001458,0.002426,0.004908,0.008183,0.016428,0.050121"
bucket,mlp_fc2,3,2,7168,32.0,0.007323223631829023,0.3904643654823303,0.16439083218574524,"0,0,0,0,0,616,5936,616","0.000000,0.000000,0.000000,0.000000,0.000000,0.085938,0.828125,0.085938","1.000000,1.000000,1.000000,1.000000,1.000000,0.628056,0.174683","0.000217,0.000343,0.000678,0.001122,0.002229,0.003706,0.007459,0.022705"
